Date,Open,High,Low,Close,Adj Close,Volume
2015-04-06,30.700001,30.875999,30.280001000000002,30.59,30.59,121400
2015-04-07,30.75,32.75,30.700001,32.32,32.32,202200
2015-04-08,32.490002000000004,32.5,30.540001,31.540001,31.540001,187900
2015-04-09,31.68,32.68,31.285,31.860001,31.860001,88500
2015-04-10,32.080002,32.5,30.77,32.099998,32.099998,182200
2015-04-13,32.27,32.27,30.91,31.16,31.16,106700
2015-04-14,31.27,31.4,30.780001000000002,31.110001,31.110001,149900
2015-04-15,31.0,32.790001000000004,30.940001000000002,32.02,32.02,252600
2015-04-16,31.620001000000002,32.290001000000004,31.18,31.93,31.93,93600
2015-04-17,31.65,31.870001000000002,31.5,31.620001000000002,31.620001000000002,96500
2015-04-20,31.74,33.849998,31.35,33.0,33.0,134600
2015-04-21,33.139998999999996,33.349998,32.68,33.110001000000004,33.110001000000004,67300
2015-04-22,33.099998,33.389998999999996,32.5,33.25,33.25,71100
2015-04-23,33.459998999999996,34.5,32.860001000000004,33.040001000000004,33.040001000000004,190900
2015-04-24,33.0,33.25,32.16,32.360001000000004,32.360001000000004,99200
2015-04-27,32.66,32.990002000000004,31.309998999999998,31.41,31.41,103800
2015-04-28,31.15,31.790001,30.610001,31.75,31.75,175300
2015-04-29,31.66,32.009997999999996,30.4,31.309998999999998,31.309998999999998,205700
2015-04-30,34.75,35.400002,33.189999,34.66,34.66,721900
2015-05-01,34.810001,34.810001,32.5,34.43,34.43,182500
2015-05-04,34.73,34.84,32.98,34.209998999999996,34.209998999999996,161900
2015-05-05,34.099998,34.200001,31.91,32.0,32.0,130800
2015-05-06,32.150002,32.150002,30.610001,31.02,31.02,137900
2015-05-07,30.690001000000002,31.559998999999998,30.0,30.98,30.98,115300
2015-05-08,31.389999,31.719998999999998,30.879998999999998,31.68,31.68,85900
2015-05-11,31.809998999999998,33.459998999999996,31.73,32.790001000000004,32.790001000000004,128800
2015-05-12,32.560001,33.888,32.402,33.599998,33.599998,190400
2015-05-13,34.09,35.0,33.799999,34.189999,34.189999,210200
2015-05-14,34.610001000000004,36.830002,34.25,36.380001,36.380001,291800
2015-05-15,36.459998999999996,37.465,36.119999,37.009997999999996,37.009997999999996,250900
2015-05-18,37.119999,39.049999,36.712002000000005,37.650002,37.650002,783800
2015-05-19,37.790001000000004,37.860001000000004,35.849998,35.98,35.98,213500
2015-05-20,36.0,36.43,35.619999,35.689999,35.689999,233400
2015-05-21,35.849998,38.150002,35.599998,37.950001,37.950001,559000
2015-05-22,38.18,39.974998,37.52,39.349998,39.349998,275200
2015-05-26,39.400002,39.75,37.740002000000004,38.310001,38.310001,102400
2015-05-27,38.599998,39.178001,38.326,38.73,38.73,110500
2015-05-28,38.560001,39.0,38.310001,38.549999,38.549999,70200
2015-05-29,38.529999,38.880001,37.82,38.860001000000004,38.860001000000004,185000
2015-06-01,38.860001000000004,39.59,38.73,39.040001000000004,39.040001000000004,128700
2015-06-02,38.900002,39.619999,38.43,38.91,38.91,82800
2015-06-03,39.169998,42.119999,39.169998,41.48,41.48,543900
2015-06-04,41.34,42.080002,40.98,41.669998,41.669998,256400
2015-06-05,41.349998,42.209998999999996,41.259997999999996,41.869999,41.869999,189500
2015-06-08,41.900002,43.25,41.349998,41.75,41.75,224600
2015-06-09,42.240002000000004,42.240002000000004,37.540001000000004,39.16,39.16,258100
2015-06-10,39.450001,43.744999,39.330002,43.389998999999996,43.389998999999996,343400
2015-06-11,43.580002,45.48,42.880001,43.52,43.52,269400
2015-06-12,43.32,43.619999,41.880001,43.169998,43.169998,82500
2015-06-15,42.880001,43.0,41.773998,42.610001000000004,42.610001000000004,319100
2015-06-16,42.529999,43.5,41.98,43.43,43.43,139500
2015-06-17,43.650002,44.0,42.459998999999996,43.32,43.32,209700
2015-06-18,43.419998,43.849998,43.25,43.610001000000004,43.610001000000004,155600
2015-06-19,43.580002,44.400002,43.271999,44.279999,44.279999,165400
2015-06-22,44.389998999999996,44.889998999999996,43.869999,44.220001,44.220001,134200
2015-06-23,44.169998,45.240002000000004,43.880001,44.16,44.16,235200
2015-06-24,44.5,44.639,42.939999,43.0,43.0,257700
2015-06-25,43.139998999999996,43.759997999999996,42.709998999999996,43.43,43.43,159500
2015-06-26,43.43,43.481998,42.333,43.169998,43.169998,304500
2015-06-29,42.169998,43.900002,41.799999,43.07,43.07,102200
2015-06-30,43.349998,43.865002000000004,42.68,43.560001,43.560001,115700
2015-07-01,43.860001000000004,44.5,41.77,42.939999,42.939999,131700
2015-07-02,43.169998,45.0,43.0,44.75,44.75,157800
2015-07-06,44.220001,46.599998,44.029999,44.700001,44.700001,353800
2015-07-07,45.349998,45.349998,42.700001,43.189999,43.189999,293400
2015-07-08,42.610001000000004,43.110001000000004,39.585999,40.880001,40.880001,293700
2015-07-09,42.150002,44.23,41.57,43.610001000000004,43.610001000000004,183400
2015-07-10,44.09,44.200001,41.700001,42.41,42.41,165500
2015-07-13,42.610001000000004,44.169998,42.369999,43.700001,43.700001,219300
2015-07-14,43.470001,43.845001,42.75,43.459998999999996,43.459998999999996,145000
2015-07-15,43.369999,43.950001,42.720001,42.830002,42.830002,186500
2015-07-16,42.830002,43.82,42.110001000000004,43.32,43.32,226800
2015-07-17,43.490002000000004,43.826,40.599998,41.84,41.84,282900
2015-07-20,42.049999,42.57,40.669998,40.98,40.98,160200
2015-07-21,41.299999,41.299999,37.689999,38.98,38.98,721900
2015-07-22,38.990002000000004,39.490002000000004,38.200001,38.639998999999996,38.639998999999996,330900
2015-07-23,38.740002000000004,39.27,38.220001,38.810001,38.810001,253000
2015-07-24,38.529999,39.099998,37.599998,38.860001000000004,38.860001000000004,256700
2015-07-27,38.27,39.220001,37.91,39.09,39.09,372500
2015-07-28,38.970001,39.82,37.799999,39.599998,39.599998,148400
2015-07-29,39.549999,40.27,38.41,39.07,39.07,214200
2015-07-30,39.07,40.279999,37.0,37.490002000000004,37.490002000000004,1065300
2015-07-31,37.43,38.23,37.43,38.009997999999996,38.009997999999996,525600
